state_u,district_u,log_ncrb_rape,log_ncrb_kidnap,log_ncrb_dowry,log_ncrb_assault,log_ncrb_insult,log_ncrb_cruelty,log_ncrb_total,frac_rape,frac_kidnap,frac_dowry,frac_assault,frac_cruelty
UTTAR PRADESH,JAUNPUR,3.9318256327243257,4.836281906951478,3.871201010907891,4.143134726391533,0.0,3.912023005428146,6.035481432524756,0.11990407673860912,0.2997601918465228,0.11270983213429256,0.1486810551558753,0.11750599520383694
UTTAR PRADESH,JHANSI,3.367295829986474,4.442651256490317,3.5263605246161616,4.454347296253507,0.0,4.787491742782046,6.315358001522335,0.050724637681159424,0.15217391304347827,0.059782608695652176,0.1539855072463768,0.21557971014492755
UTTAR PRADESH,KANNAUJ,3.1354942159291497,4.532599493153256,3.4657359027997265,4.59511985013459,0.0,4.499809670330265,6.236369590203704,0.043137254901960784,0.1803921568627451,0.060784313725490195,0.19215686274509805,0.17450980392156862
UTTAR PRADESH,KANPUR DEHAT,3.044522437723423,5.0238805208462765,3.58351893845611,4.564348191467836,0.0,4.976733742420574,6.240275845170769,0.0390625,0.294921875,0.068359375,0.185546875,0.28125
UTTAR PRADESH,KANPUR NAGAR,4.3694478524670215,6.025865973825314,4.30406509320417,5.568344503761097,0.6931471805599453,6.38856140554563,7.562161631225652,0.0405616224648986,0.21476859074362975,0.037961518460738426,0.1357254290171607,0.3088923556942278
UTTAR PRADESH,KASGANJ,2.995732273553991,4.574710978503383,3.4011973816621555,4.07753744390572,0.0,3.091042453358316,5.700443573390687,0.06375838926174497,0.3221476510067114,0.09731543624161074,0.19463087248322147,0.07046979865771812
UTTAR PRADESH,KAUSHAMBI,2.70805020110221,4.406719247264253,3.332204510175204,4.795790545596741,0.0,4.465908118654584,6.1224928095143865,0.03076923076923077,0.17802197802197803,0.05934065934065934,0.26373626373626374,0.189010989010989
UTTAR PRADESH,KHIRI,3.912023005428146,5.278114659230517,3.9512437185814275,4.68213122712422,0.0,4.912654885736052,6.7580945044277305,0.056976744186046514,0.22674418604651161,0.05930232558139535,0.12441860465116279,0.1569767441860465
UTTAR PRADESH,KUSHI NAGAR,3.1354942159291497,4.919980925828125,3.4657359027997265,3.9889840465642745,0.0,3.9318256327243257,6.429719478039138,0.035541195476575124,0.2197092084006462,0.050080775444264945,0.08562197092084006,0.08077544426494346
UTTAR PRADESH,LALITPUR,3.258096538021482,3.332204510175204,2.5649493574615367,3.6635616461296463,0.0,2.995732273553991,5.288267030694535,0.12690355329949238,0.13705583756345177,0.06091370558375635,0.19289340101522842,0.09644670050761421
UTTAR PRADESH,LUCKNOW,4.23410650459726,5.916202062607435,3.970291913552122,5.973809611869261,0.0,6.988413181999592,7.840312983320164,0.026771653543307086,0.14566929133858267,0.02047244094488189,0.15433070866141732,0.4263779527559055
UTTAR PRADESH,MAHARAJGANJ,3.4965075614664802,4.61512051684126,3.295836866004329,3.4011973816621555,0.0,4.23410650459726,5.768320995793772,0.10031347962382445,0.31347962382445144,0.08150470219435736,0.09090909090909091,0.21316614420062696
UTTAR PRADESH,MAHOBA,3.1354942159291497,3.970291913552122,2.70805020110221,4.143134726391533,0.6931471805599453,3.1354942159291497,5.407171771460119,0.0990990990990991,0.23423423423423423,0.06306306306306306,0.27927927927927926,0.0990990990990991
UTTAR PRADESH,MAINPURI,3.1780538303479458,4.852030263919617,3.6375861597263857,4.248495242049359,0.0,4.31748811353631,6.028278520230698,0.05555555555555555,0.30676328502415456,0.0893719806763285,0.16666666666666666,0.178743961352657
UTTAR PRADESH,MATHURA,4.30406509320417,5.0689042022202315,3.8918202981106265,4.74493212836325,0.0,5.5909869805108565,6.76849321164863,0.08400460299194476,0.18181818181818182,0.05523590333716916,0.13118527042577677,0.30724971231300346
UTTAR PRADESH,MAU,3.258096538021482,4.442651256490317,2.833213344056216,3.9512437185814275,0.6931471805599453,4.406719247264253,6.115892125483034,0.05530973451327434,0.18584070796460178,0.035398230088495575,0.11283185840707964,0.17920353982300885
UTTAR PRADESH,MEERUT,4.543294782270004,5.683579767338681,3.9889840465642745,6.023447592961033,0.0,6.255750041753367,7.457609289715606,0.05369515011547344,0.16916859122401848,0.030600461893764433,0.23787528868360278,0.3002309468822171
UTTAR PRADESH,MIRZAPUR,2.995732273553991,2.5649493574615367,3.295836866004329,2.3978952727983707,0.0,3.367295829986474,5.049856007249537,0.12258064516129032,0.07741935483870968,0.16774193548387098,0.06451612903225806,0.18064516129032257
UTTAR PRADESH,MORADABAD,4.499809670330265,5.117993812416755,3.6109179126442243,5.247024072160486,0.6931471805599453,6.0014148779611505,7.189922170745808,0.06716981132075471,0.12528301886792453,0.027169811320754716,0.14264150943396225,0.3041509433962264
UTTAR PRADESH,MUZAFFARNAGAR,3.6375861597263857,5.272999558563747,2.8903717578961645,5.003946305945459,0.0,5.1298987149230735,6.752270376141742,0.04327485380116959,0.22690058479532163,0.019883040935672516,0.17309941520467836,0.19649122807017544
UTTAR PRADESH,PILIBHIT,4.248495242049359,4.804021044733257,3.258096538021482,4.68213122712422,0.0,5.19295685089021,6.799055862058796,0.07700892857142858,0.13504464285714285,0.027901785714285716,0.11941964285714286,0.19977678571428573
UTTAR PRADESH,PRATAPGARH,4.23410650459726,5.153291594497779,3.091042453358316,5.111987788356544,0.0,5.220355825078324,6.839476438228843,0.07288317256162916,0.18435155412647375,0.022508038585209004,0.17684887459807075,0.19721329046087888
UTTAR PRADESH,RAIBAREILLY,3.8918202981106265,4.718498871295094,3.332204510175204,4.248495242049359,0.0,3.6635616461296463,6.2166061010848646,0.096,0.222,0.054,0.138,0.076
UTTAR PRADESH,RAMPUR,3.5553480614894135,4.553876891600541,2.9444389791664403,4.007333185232471,0.0,4.804021044733257,6.082218910376446,0.07780320366132723,0.2151029748283753,0.041189931350114416,0.12356979405034325,0.2768878718535469
UTTAR PRADESH,SAHARANPUR,4.30406509320417,5.3981627015177525,3.367295829986474,5.123963979403259,0.0,5.272999558563747,6.853299093186078,0.07716701902748414,0.23255813953488372,0.02959830866807611,0.17653276955602537,0.20507399577167018
UTTAR PRADESH,SAMBHAL,3.8918202981106265,4.8283137373023015,3.295836866004329,4.290459441148391,0.0,4.672828834461906,6.016157159698354,0.11735941320293398,0.30317848410757947,0.06356968215158924,0.17603911980440098,0.2591687041564792
